"filename", "language", "Markdown", "YAML", "Groovy", "C++", "Java Properties", "JSON", "Swift", "CMake", "XML", "JavaScript", "CSS", "HTML", "Dart", "comment", "blank", "total"
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\animation\animation_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 5, 18
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\animation\custom_shake_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 1, 13, 68
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\classes\auth_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 16, 60
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\classes\biometric.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 3, 11, 40
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\classes\color_scheme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 4, 12
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\classes\io_thing.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 6, 17, 76
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\campuran.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 3, 7, 189
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1767, 41, 138, 1946
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\invest.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 964, 15, 71, 1050
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\pasaruang.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 3, 7, 183
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\pendapatantetap.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 3, 6, 186
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\contents\portofolio.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 305, 7, 28, 340
